county,state,pay,employee
Jones,Georgia,1489,47
Lanier,Georgia,1534,33
Laurens,Georgia,7943,176
Lee,Georgia,14804,257
Liberty,Georgia,4982,94
Lincoln,Georgia,4496,116
Lowndes,Georgia,51094,801
Macon,Georgia,2771,59
Madison,Georgia,133,10
Marion,Georgia,1202,51
McDuffie,Georgia,8045,146
Meriwether,Georgia,3952,74
Mitchell,Georgia,62,2
Monroe,Georgia,7376,211
Montgomery,Georgia,3510,109
Morgan,Georgia,1807,42
Murray,Georgia,372,8
Muscogee,Georgia,2221,53
Newton,Georgia,17906,274
Oconee,Georgia,1240,12
Oglethorpe,Georgia,321,8
Pickens,Georgia,2652,66
Pierce,Georgia,16940,373
Pike,Georgia,919,25
Putnam,Georgia,22158,414
Randolph,Georgia,7395,173
Richmond,Georgia,87812,1194
Rockdale,Georgia,35755,523
Screven,Georgia,944,20
Spalding,Georgia,18388,299
Stephens,Georgia,6629,164
Sumter,Georgia,9863,271
Talbot,Georgia,590,18
Tattnall,Georgia,6925,223
Telfair,Georgia,3046,66
Thomas,Georgia,16697,406
Toombs,Georgia,8562,215
Troup,Georgia,20343,409
Union,Georgia,100,4
Upson,Georgia,7761,141
Walton,Georgia,4800,193
Ware,Georgia,32263,746
Warren,Georgia,12882,243
Washington,Georgia,1854,45
Wayne,Georgia,53873,707
Webster,Georgia,1021,25
Wheeler,Georgia,6422,130
White,Georgia,266,9
Whitfield,Georgia,16633,299
Wilcox,Georgia,429,15
Wilkes,Georgia,12471,311
Wilkinson,Georgia,1558,58
Hawaii,Hawaii,3093,110
Honolulu,Hawaii,9454,143
Ada,Idaho,51812,1364
Adams,Idaho,6436,130
Bannock,Idaho,2210,49
Benewah,Idaho,38584,660
Blaine,Idaho,2660,59
Boise,Idaho,1959,40
Bonner,Idaho,29232,586
Bonneville,Idaho,7974,224
Boundary,Idaho,28131,585
Canyon,Idaho,42901,1079
Clearwater,Idaho,11010,211
Elmore,Idaho,391,12
Fremont,Idaho,434,18
Gem,Idaho,7951,141
Idaho,Idaho,17756,332
Kootenai,Idaho,49831,1400
Latah,Idaho,25076,393
Lemhi,Idaho,483,2
Lewis,Idaho,3310,67
Nez Perce,Idaho,98129,1235
Payette,Idaho,14897,455
Shoshone,Idaho,885,30
Twin Falls,Idaho,2703,83
Valley,Idaho,1200,28
Washington,Idaho,11862,227
Adams,Illinois,560,18
Alexander,Illinois,2402,70
Boone,Illinois,40247,1297
Champaign,Illinois,16435,446
Clinton,Illinois,6612,149
Coles,Illinois,2720,66
Cook,Illinois,536922,9360
DeKalb,Illinois,14037,241
Douglas,Illinois,10934,289
DuPage,Illinois,155376,2471
Effingham,Illinois,23218,565
Grundy,Illinois,589,8
Henry,Illinois,2531,106
Jackson,Illinois,421,23
Kane,Illinois,95419,1882
Kankakee,Illinois,10472,239
Kendall,Illinois,14310,312
Knox,Illinois,4610,85
Lake,Illinois,75010,1224
LaSalle,Illinois,6010,123
Livingston,Illinois,1947,61
Macoupin,Illinois,2067,66
Madison,Illinois,10337,187
Marion,Illinois,807,28
McHenry,Illinois,21383,469
Monroe,Illinois,635,14
Moultrie,Illinois,5709,129
Rock Island,Illinois,1453,42
Saline,Illinois,1137,36
Sangamon,Illinois,9803,233
Tazewell,Illinois,24937,449
Union,Illinois,4097,85
Wayne,Illinois,509,18
Whiteside,Illinois,1716,63
Will,Illinois,61594,977
Williamson,Illinois,279,8
Winnebago,Illinois,14489,328
Allen,Indiana,45517,893
Bartholomew,Indiana,39910,639
Blackford,Indiana,3862,85
Boone,Indiana,481,12
Cass,Indiana,7027,215
Clark,Indiana,47505,1148
Clay,Indiana,6370,130
Clinton,Indiana,2746,87
Crawford,Indiana,1231,33
Daviess,Indiana,13779,511
Decatur,Indiana,884,32
DeKalb,Indiana,76621,1227
Delaware,Indiana,6733,128
Dubois,Indiana,33344,802
Elkhart,Indiana,239744,5317
Floyd,Indiana,30776,743
Franklin,Indiana,1204,37
Fulton,Indiana,14054,273
Grant,Indiana,23218,462
Hamilton,Indiana,1786,53
Harrison,Indiana,4191,142
Howard,Indiana,1007,24
Huntington,Indiana,3989,93
Jackson,Indiana,2015,62
Jasper,Indiana,6070,149
Jefferson,Indiana,2642,99
Johnson,Indiana,19491,498
Kosciusko,Indiana,7225,179
LaGrange,Indiana,55506,905
Lake,Indiana,22603,406
LaPorte,Indiana,9855,295
Lawrence,Indiana,296,14
Marion,Indiana,104616,2092
Marshall,Indiana,37332,670
Miami,Indiana,4117,118
Monroe,Indiana,450,18
Morgan,Indiana,18460,264
Noble,Indiana,1591,35
Orange,Indiana,907,26
Owen,Indiana,3576,101
Parke,Indiana,6721,207
Perry,Indiana,1891,56
Randolph,Indiana,8801,208
Ripley,Indiana,2334,61
Rush,Indiana,2680,95
Shelby,Indiana,1692,36
St. Joseph,Indiana,53315,1112
Sullivan,Indiana,402,20
Tippecanoe,Indiana,8517,214
Vanderburgh,Indiana,15166,310
Vigo,Indiana,3195,69
Wabash,Indiana,17155,236
Washington,Indiana,8678,244
Wayne,Indiana,28827,606
Wells,Indiana,5003,173
White,Indiana,6669,165
Whitley,Indiana,8390,203
Allamakee,Iowa,14,2
Benton,Iowa,3896,99
Black Hawk,Iowa,32111,820
Carroll,Iowa,23235,469
Cerro Gordo,Iowa,11329,234
Chickasaw,Iowa,816,47
Clayton,Iowa,1438,34
Clinton,Iowa,17420,391
Delaware,Iowa,4324,98
Dickinson,Iowa,444,11
Dubuque,Iowa,58401,1150
Henry,Iowa,1454,50
Jackson,Iowa,885,24
Jasper,Iowa,10285,233
Linn,Iowa,43056,567
Lyon,Iowa,267,8
Marion,Iowa,144991,2628
Marshall,Iowa,2044,72
