county,state,pay,employee
Pinellas,Florida,18979966,397039
Polk,Florida,7841436,191046
Putnam,Florida,434750,12162
St. Johns,Florida,2542376,63708
St. Lucie,Florida,2321250,63141
Santa Rosa,Florida,980340,27628
Sarasota,Florida,6664253,146877
Seminole,Florida,8455776,182013
Sumter,Florida,908303,23044
Suwannee,Florida,278748,8662
Taylor,Florida,181004,4562
Union,Florida,60381,1573
Volusia,Florida,5713325,153922
Wakulla,Florida,109052,3589
Walton,Florida,770436,21356
Washington,Florida,116915,3836
Appling,Georgia,282882,5596
Atkinson,Georgia,51068,1476
Bacon,Georgia,109223,3324
Baker,Georgia,10186,266
Baldwin,Georgia,443771,12995
Banks,Georgia,93482,3263
Barrow,Georgia,649194,18089
Bartow,Georgia,1461607,34555
Ben Hill,Georgia,165082,4749
Berrien,Georgia,122527,3310
Bibb,Georgia,3170899,77033
Bleckley,Georgia,46075,1653
Brantley,Georgia,46059,1312
Brooks,Georgia,71741,2124
Bryan,Georgia,195607,6152
Bulloch,Georgia,577681,18122
Burke,Georgia,629235,9414
Butts,Georgia,179628,5037
Calhoun,Georgia,22041,621
Camden,Georgia,313190,9396
Candler,Georgia,69276,2317
Carroll,Georgia,1598450,36933
Catoosa,Georgia,395596,12736
Charlton,Georgia,58286,1594
Chatham,Georgia,6220700,141804
Chattahoochee,Georgia,89366,1892
Chattooga,Georgia,158648,4741
Cherokee,Georgia,2123461,55756
Clarke,Georgia,1903425,49187
Clay,Georgia,7213,225
Clayton,Georgia,2901961,71944
Clinch,Georgia,64210,1698
Cobb,Georgia,20766088,354614
Coffee,Georgia,467623,13468
Colquitt,Georgia,385020,11462
Columbia,Georgia,1170451,31080
Cook,Georgia,98625,3389
Coweta,Georgia,1370786,35946
Crawford,Georgia,17227,523
Crisp,Georgia,246731,7196
Dade,Georgia,111326,2880
Dawson,Georgia,219408,8167
Decatur,Georgia,232593,6602
DeKalb,Georgia,15519010,282632
Dodge,Georgia,92212,3158
Dooly,Georgia,89273,2835
Dougherty,Georgia,1414211,36832
Douglas,Georgia,1447827,39586
Early,Georgia,132464,2905
Echols,Georgia,4297,117
Effingham,Georgia,329959,7977
Elbert,Georgia,150010,4491
Emanuel,Georgia,164254,5075
Evans,Georgia,129969,4303
Fannin,Georgia,161285,5295
Fayette,Georgia,1833413,42569
Floyd,Georgia,1480320,37706
Forsyth,Georgia,3624974,75175
Franklin,Georgia,231996,6846
Fulton,Georgia,63883469,826560
Gilmer,Georgia,186003,6129
Glascock,Georgia,6141,225
Glynn,Georgia,1184764,32487
Gordon,Georgia,785695,19538
Grady,Georgia,163621,4788
Greene,Georgia,241780,5440
Gwinnett,Georgia,17222133,337500
Habersham,Georgia,423009,12054
Hall,Georgia,3826848,83885
Hancock,Georgia,19715,594
Haralson,Georgia,216613,5443
Harris,Georgia,120339,4436
Hart,Georgia,219751,6410
