STATEFP,COUNTYFP,state_abb,state,county,pct.forest,pct.employees,pct.earnings,pct.indigenous,nonmetro,rural
5,51,AR,Arkansas,Garland,83.22,0.18,0.15,0.81,0,0
5,53,AR,Arkansas,Grant,96.71,10.27,14.76,0.18,0,0
5,55,AR,Arkansas,Greene,26.63,0,0,0.32,1,0
5,57,AR,Arkansas,Hempstead,63.17,3.86,6.34,0.46,1,0
5,59,AR,Arkansas,Hot Spring,63.76,8.91,12.48,0.1,1,0
5,61,AR,Arkansas,Howard,74.18,5.15,7.12,0.31,1,0
5,63,AR,Arkansas,Independence,43.8,0.81,0.76,0.22,1,0
5,65,AR,Arkansas,Izard,64.9,10.39,14.76,1.44,1,1
5,67,AR,Arkansas,Jackson,17.21,0,0,0.14,1,0
5,69,AR,Arkansas,Jefferson,36.06,7.44,13.87,0.3,0,0
5,71,AR,Arkansas,Johnson,71.57,0.98,0.94,0.3,1,0
5,73,AR,Arkansas,Lafayette,60.01,8.58,11.9,0.3,1,1
5,75,AR,Arkansas,Lawrence,25.37,0,0,0.29,1,0
5,77,AR,Arkansas,Lee,22.9,0,0,0.29,1,0
5,79,AR,Arkansas,Lincoln,38.63,3.51,3.51,0.36,0,0
5,81,AR,Arkansas,Little River,53.41,3.88,1.98,1.15,0,0
5,83,AR,Arkansas,Logan,56.49,0,0,1.05,1,0
5,85,AR,Arkansas,Lonoke,23.92,0,0,0.72,0,0
5,87,AR,Arkansas,Madison,60.78,4.22,3.57,1.68,0,0
5,89,AR,Arkansas,Marion,63.17,0,0,1.14,1,1
5,91,AR,Arkansas,Miller,47.66,0.69,0.73,1.17,0,0
5,93,AR,Arkansas,Mississippi,5.36,0,0,0.12,1,0
5,95,AR,Arkansas,Monroe,45.84,0,0,0.5,1,0
5,97,AR,Arkansas,Montgomery,81.19,2.69,2.03,1.79,1,1
5,99,AR,Arkansas,Nevada,83.1,2.59,3.27,0.08,1,0
5,101,AR,Arkansas,Newton,80.48,11.13,9.6,2.61,1,1
5,103,AR,Arkansas,Ouachita,83.22,6.6,7.35,0.2,1,0
5,105,AR,Arkansas,Perry,76.12,0,0,0.61,0,0
5,107,AR,Arkansas,Phillips,20.64,0,0,0.03,1,0
5,109,AR,Arkansas,Pike,78.82,15.24,22.63,0.69,1,1
5,111,AR,Arkansas,Poinsett,15.66,2.36,3.45,0.22,0,0
5,113,AR,Arkansas,Polk,79.38,7.04,4.37,1.64,1,0
5,115,AR,Arkansas,Pope,72.41,3.96,3.37,0.56,1,0
5,117,AR,Arkansas,Prairie,26.68,0,0,0.35,1,1
5,119,AR,Arkansas,Pulaski,43.04,0.09,0.08,0.28,0,0
5,121,AR,Arkansas,Randolph,44.32,1.95,1.25,0.48,1,0
5,123,AR,Arkansas,St. Francis,24.7,0,0,0.57,1,0
5,125,AR,Arkansas,Saline,69.76,0.57,0.72,0.4,0,0
